Component Name,App type,Component Version,Product Name,Product Metric,Cloud Pak or FlexPoint Bundle,Entitled,Charged,Computer Name,Installation Path
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,baahqda1aa,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,baahqda1ba,/var/opt/ansible/GTS/ILMT/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,baahqda1aa,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,baahqda1ba,/usr/tivoli/tsm/client/api/iso-swid
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,baahqda1aa,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,baahqda1ba,/opt/itlm
IBM Tivoli Monitoring - UNIX Logs Agent,Monitoring,6.2,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,baahqda1aa,/opt/IBM/ITM/aix526/ul/itlm
IBM Tivoli Monitoring - UNIX Logs Agent,Monitoring,6.2,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,baahqda1ba,/opt/IBM/ITM/aix526/ul/itlm
IBM Tivoli Monitoring - UNIX OS Agent,Monitoring,6.3,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,baahqda1ba,/opt/IBM/ITM/properties/version
IBM Tivoli Monitoring - UNIX OS Agent,Monitoring,6.3,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,baahqda1aa,/opt/IBM/ITM/properties/version
IBM Tivoli Composite Application Manager Extended Agent for Oracle Database,Monitoring,6.3,IBM Tivoli Composite Application Manager for Applications Single Agent,Managed Device,IBM Cloud Pak for AIOps,No,Yes,baahqda1ba,/opt/IBM/ITM/aix526/rz/itlm
IBM Tivoli Composite Application Manager Extended Agent for Oracle Database,Monitoring,6.3,IBM Tivoli Composite Application Manager for Applications Single Agent,Managed Device,IBM Cloud Pak for AIOps,No,Yes,baahqda1aa,/opt/IBM/ITM/aix526/rz/itlm
IBM Tivoli Endpoint,Security (tivoli),3.7,AIX 7.2 Enterprise Edition,STG Tier,None,No,No,baahqda1ba,/opt/Tivoli/lcf/bin/aix4-r1/mrt
IBM Tivoli Endpoint,Security (tivoli),3.7,AIX 7.2 Enterprise Edition,STG Tier,None,No,No,baahqda1ba,/usr/lpp/Tivoli_Management_Agent.client/inst_root/opt/Tivoli/lcf/bin/aix4-r1/mrt
IBM Tivoli Endpoint,Security (tivoli),3.7,AIX 7.2 Enterprise Edition,STG Tier,None,No,No,baahqda1aa,/opt/Tivoli/lcf/bin/aix4-r1/mrt
IBM Tivoli Endpoint,Security (tivoli),3.7,AIX 7.2 Enterprise Edition,STG Tier,None,No,No,baahqda1aa,/usr/lpp/Tivoli_Management_Agent.client/inst_root/opt/Tivoli/lcf/bin/aix4-r1/mrt
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,baahqda1ba,/opt/ibm/IE02/2.0.0/jre/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,baahqda1aa,/opt/ibm/IE02/2.0.0/jre/docs
IBM Tivoli Storage Manager Client and VSS Requestor,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,Yes,baahqda1ba,/usr/tivoli/tsm/client/ba/iso-swid
IBM Tivoli Storage Manager Client and VSS Requestor,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,Yes,baahqda1aa,/usr/tivoli/tsm/client/ba/iso-swid
AIX Express Edition,AIX OS,7.1,AIX Express Edition,STG Tier,None,No,Yes,baahqda1aa,/usr/lpp/bos/iso-swid
AIX Express Edition,AIX OS,7.1,AIX Express Edition,STG Tier,None,No,Yes,baahqda1aa,/usr/lib/bos/swidtag
AIX Express Edition,AIX OS,7.1,AIX Express Edition,STG Tier,None,No,Yes,baahqda1ba,/usr/lpp/bos/iso-swid
AIX Express Edition,AIX OS,7.1,AIX Express Edition,STG Tier,None,No,Yes,baahqda1ba,/usr/lib/bos/swidtag
IBM Systems Director - Agent,Security and Patching,6.3,IBM Systems Director for x86,Unknown,None,No,Yes,baahqda1ba,/var/opt/tivoli/ep/ITLMReady
IBM Systems Director - Agent,Security and Patching,6.3,IBM Systems Director for x86,Unknown,None,No,Yes,baahqda1aa,/var/opt/tivoli/ep/ITLMReady
IBM Systems Director - Agent,Security and Patching,6.3,IBM Systems Director for x86,Unknown,None,No,Yes,baahqda1aa,/usr/lpp/DirectorCommonAgent/inst_root/var/opt/tivoli/ep/ITLMReady
IBM Systems Director - Agent,Security and Patching,6.3,IBM Systems Director for x86,Unknown,None,No,Yes,baahqda1ba,/usr/lpp/DirectorCommonAgent/inst_root/var/opt/tivoli/ep/ITLMReady
IBM Tivoli Storage Manager for Databases Data Protection for Oracle,Storage,7.1,IBM Storage Protect for Databases,PVU,None,No,Yes,baahqda1aa,/usr/tivoli/tsm/client/oracle/properties/version
IBM Tivoli Directory Server - Client,Clients,6.2,AIX 7.1 Enterprise Edition,STG Tier,None,No,No,baahqda1aa,/opt/IBM/ldap/V6.2/etc
IBM Tivoli Directory Server - Client,Clients,6.2,AIX 7.1 Enterprise Edition,STG Tier,None,No,No,baahqda1ba,/opt/IBM/ldap/V6.2/etc
IBM WebSphere MQ Client,Clients,7.5,IBM MQ,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcisa4,/usr/mqm/properties/version
IBM WebSphere MQ,Message broker,7.5,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcisa4,/usr/mqm/properties/version
IBM HTTP Server,Web server,8.5,IBM HTTP Server,Unknown,None,No,No,bbciga63,/usr/IBM/HTTPServer/properties/version
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciga8,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciga63,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciga7,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbbqda1a,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciaa9,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciga5,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciga6,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbciga52,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbcqca2bm_boot,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbcima1.boigroup.net,/var/opt/ansible/GTS/ILMT/iso-swid
IBM License Metric Tool,License tool,9.2,IBM License Metric Tool,Establishment,None,No,No,bbcisa4,/var/opt/ansible/GTS/ILMT/iso-swid
"IBM SDK, Java Technology Edition",SDK software developer kit,8,IBM License Metric Tool,Establishment,None,No,No,bbciaa9,/usr/java8_64/iso-swid
"IBM SDK, Java Technology Edition",SDK software developer kit,8,IBM License Metric Tool,Establishment,None,No,No,bbciaa9,/home/ccadbob/java8_64/iso-swid
"IBM SDK, Java Technology Edition",SDK software developer kit,8,IBM License Metric Tool,Establishment,None,No,No,bbciga5,/usr/java8_64/java8_64/iso-swid
"IBM SDK, Java Technology Edition",SDK software developer kit,8,IBM License Metric Tool,Establishment,None,No,No,bbciga5,/usr/java8_64/iso-swid
"IBM SDK, Java Technology Edition",SDK software developer kit,8,IBM License Metric Tool,Establishment,None,No,No,bbciga5,/home/ccadbob/java8_64/iso-swid
"IBM SDK, Java Technology Edition",SDK software developer kit,8,IBM License Metric Tool,Establishment,None,No,No,bbciga6,/usr/java8_64/java8_64/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbcqca2bm_boot,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbcima1.boigroup.net,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbciga8,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbciga63,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbciga7,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbcisa4,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbciga5,/usr/tivoli/tsm/client/api/iso-swid
IBM Tivoli Storage Manager API,Storage,7.1,IBM Storage Protect Extended Edition,PVU,None,No,No,bbciga52,/usr/tivoli/tsm/client/api/iso-swid
IBM WebSphere MQ,Message broker,8,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcisa4,/usr/mqm8/usr/mqm/properties/version
IBM WebSphere MQ,Message broker,8,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbciga5,/usr/Restore_mqm8/usr/mqm/properties/version
IBM WebSphere MQ,Message broker,8,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbciga5,/usr/mqm/properties/version
IBM WebSphere MQ,Message broker,8,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbciga52,/usr/mqm/properties/version
IBM WebSphere MQ,Message broker,8,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbciaa9,/usr/mqm8/usr/mqm/properties/version
IBM WebSphere MQ,Message broker,8,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/usr/mqm/properties/version
IBM Tivoli Monitoring,Monitoring,6.1,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbciaa9,/opt/IBM/ITM/aix516/ux_old/bin
IBM Tivoli Monitoring,Monitoring,6.1,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbciga52,/opt/IBM/BOI/ITM/aix516/ux_old/bin
IBM WebSphere MQ Server,Message broker,7.5,IBM MQ Advanced for Non-Production Environment,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcisa4,/usr/mqm/properties/version
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbciga5,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbcisa4,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbciga52,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbcima1.boigroup.net,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbciga8,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbbqda1a,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbciaa9,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbcqca2bm_boot,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbciga6,/opt/itlm
IBM License Metric Tool and Tivoli Asset Discovery for Distributed Agent,License tool,7.2,IBM License Metric Tool,Establishment,None,No,No,bbciga7,/opt/itlm
IBM HTTP Server,Web server,6.1,IBM HTTP Server,Unknown,None,No,Yes,bbciga5,/usr/IBM/HTTPServer/bin
IBM Tivoli Monitoring - UNIX Logs Agent,Monitoring,6.2,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbciga8,/opt/IBM/ITM/aix526/ul/itlm
IBM Tivoli Monitoring - UNIX Logs Agent,Monitoring,6.2,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbciga7,/opt/IBM/ITM/aix526/ul/itlm
IBM Tivoli Monitoring - UNIX Logs Agent,Monitoring,6.2,IBM Tivoli Monitoring,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbcisa4,/opt/IBM/ITM/aix526/ul/itlm
AIX Express Edition,AIX OS,6.1,AIX Express Edition,STG Tier,None,No,Yes,bbciaa9,/usr/lib/bos/swidtag
AIX Express Edition,AIX OS,6.1,AIX Express Edition,STG Tier,None,No,Yes,bbciaa9,/usr/lpp/bos/properties/version
AIX Express Edition,AIX OS,6.1,AIX Express Edition,STG Tier,None,No,Yes,bbcqca2bm_boot,/usr/lpp/bos/properties/version
AIX Express Edition,AIX OS,6.1,AIX Express Edition,STG Tier,None,No,Yes,bbcqca2bm_boot,/usr/lib/bos/swidtag
AIX Standard Edition,AIX OS,6.1,AIX Standard Edition,STG Tier,None,No,Yes,bbciga5,/usr/lpp/bos
AIX Standard Edition,AIX OS,6.1,AIX Standard Edition,STG Tier,None,No,Yes,bbciga52,/usr/lpp/bos
AIX Standard Edition,AIX OS,6.1,AIX Standard Edition,STG Tier,None,No,Yes,bbcima1.boigroup.net,/usr/lpp/bos
AIX Standard Edition,AIX OS,6.1,AIX Standard Edition,STG Tier,None,No,Yes,bbcqca2bm_boot,/usr/lpp/bos
AIX Standard Edition,AIX OS,6.1,AIX Standard Edition,STG Tier,None,No,Yes,bbciga7,/usr/lpp/bos
IBM WebSphere Adapter for PeopleSoft Enterprise,Integration app,7.5,IBM App Connect Enterprise,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/opt/IBM/mqsi/9.0.0.10/properties/version
IBM WebSphere Adapter for PeopleSoft Enterprise,Integration app,7.5,IBM App Connect Enterprise,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/opt/IBM/mqsi/9.0.0.5/properties/version
IBM WebSphere Adapter for PeopleSoft Enterprise,Integration app,7.5,IBM App Connect Enterprise,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/opt/IBM/mqsi/9.0.0.2/properties/version
IBM Tivoli Composite Application Manager Agent for WebSphere Applications,Monitoring,7.1,IBM Tivoli Composite Application Manager for Applications Single Agent,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbciga5,/opt/IBM/BOI/ITM/aix533/yn/config
IBM Tivoli Composite Application Manager Agent for WebSphere Applications,Monitoring,7.1,IBM Tivoli Composite Application Manager for Applications Single Agent,Managed Device,IBM Cloud Pak for AIOps,No,Yes,bbcima1.boigroup.net,/opt/IBM/ITM/aix533/yn/config
IBM WebSphere Adapter for JD Edwards EnterpriseOne,Integration app,7.5,IBM App Connect Enterprise,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/opt/IBM/mqsi/9.0.0.10/properties/version
IBM WebSphere Adapter for JD Edwards EnterpriseOne,Integration app,7.5,IBM App Connect Enterprise,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/opt/IBM/mqsi/9.0.0.5/properties/version
IBM WebSphere Adapter for JD Edwards EnterpriseOne,Integration app,7.5,IBM App Connect Enterprise,Virtual Processor Core,IBM Cloud Pak for Integration,No,No,bbcqca2bm_boot,/opt/IBM/mqsi/9.0.0.2/properties/version
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpps7/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppu7/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa2/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa2/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa5/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa5/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa6/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa6/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa7/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppa7/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppab/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppac/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga5,/home/gppu7/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpp0f/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpp0f/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpp0s/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpp0t/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpp6z/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpp6z/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpps5/fundtech/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpps5/dh/docs
IBM JavaTM Standard Edition,development SDK,6.2,IBM Developer Kit JavaTM Standard Edition,Unknown,None,No,Yes,bbciga52,/home/gpps7/fundtech/docs
IBM WebSphere Application Server Network Deployment,IBM Application server,8,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciaa9,/var/mqm/log/AppServer/properties/version
IBM WebSphere Application Server Network Deployment,IBM Application server,8,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbcima1.boigroup.net,/usr/IBM/was8/AppServer/properties/version
IBM WebSphere Application Server Network Deployment,IBM Application server,8,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciaa9,/usr/IBM/was8/AppServer/properties/version
WebSphere Application Server Network Deployment,IBM Application server,8.5,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbcisa4,/usr/IBM/WAS8/WebSphere/AppServer855/properties/version
WebSphere Application Server Network Deployment,IBM Application server,8.5,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciga63,/usr/IBM/WebSphere/AppServer855/properties/version
WebSphere Application Server Network Deployment,IBM Application server,8.5,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciaa9,/usr/IBM/WAS855/AppServer/properties/version
WebSphere Application Server Network Deployment,IBM Application server,8.5,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciga5,/usr/IBM/WAS85/AppServer/properties/version
WebSphere Application Server Network Deployment,IBM Application server,8.5,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciga52,/usr/IBM/WebSphere/WAS85/AppServer/properties/version
IBM Tivoli Storage Manager Client,Storage,6.2,IBM Storage Protect Extended Edition,PVU,None,No,Yes,bbciaa9,/usr/tivoli/tsm/tivinv
IBM Tivoli Storage Manager Client,Storage,6.2,IBM Storage Protect Extended Edition,PVU,None,No,Yes,bbciga6,/usr/tivoli/tsm/tivinv
WebSphere Application Server Network Deployment,IBM Application server,9,IBM WebSphere Application Server Network Deployment,Virtual Processor Core,None,No,Yes,bbciaa9,/usr/IBM/WebSphere905/AppServer/swidtag
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciga8,/opt/IBM/SCM/_jvm-client/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/opt/IBM/ITM/JRE/aix523/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/usr/mqm/ssl/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/usr/mqm/java/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/usr/IBM/mqsi/6.1/jre15/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/usr/IBM/iCDC/6.3/eventserver/jre32/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/usr/IBM/ITM/JRE/aix523/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcima1.boigroup.net,/var/IBM/SCM/_jvm-client/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciga8,/opt/ibm/IE02/2.0.0/jre/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/opt/IBM/ITM/JRE/aix523/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/usr/mqm/ssl/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/usr/mqm/java/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/usr/IBM/ITM/JRE/aix523/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/usr/IBM/was8/InstallationManager_old_july_2012/eclipse/jre_5.0.1.sr8a_20080811c/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/usr/IBM/was8/InstallationManager_b/eclipse/jre_5.0.1.sr8a_20080811c/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/usr/IBM/was8/InstallationManager.back/eclipse/jre_5.0.1.sr8a_20080811c/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciaa9,/var/mqm/log/InstallationManager/eclipse/jre_5.0.1.sr8a_20080811c/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciga6,/usr/mqm/ssl/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcqca2bm_boot,/usr/IBM/ITM/JRE/aix523/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcqca2bm_boot,/usr/IBM/mqsi/6.1/jre15/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbcqca2bm_boot,/usr/mqm/ssl/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciga7,/usr/mqm/java/docs
"IBM SDK 5.0 for AIX Power 32, Java Technology",SDK software developer kit,5,"IBM SDK 5.0 for AIX Power 32, Java Technology",Unknown,None,No,Yes,bbciga7,/usr/IBM/ITM/JRE/aix523/docs
